,box,distance,goal
213,1,7.896049645234003,True
302,0,18.660549295237804,False
498,1,6.3480390673025955,True
577,0,25.90595298382208,False
629,0,28.35815403019033,False
648,0,30.03022477438356,False
932,0,22.517273369571196,False
1049,1,7.381388758221586,True
1147,1,18.33412392234764,False
1157,0,27.31461879653458,False
1383,1,15.391738043508928,False
1553,0,22.05,False
1556,0,28.41543418637132,False
1633,1,14.067071479167227,False
1635,1,7.627850286941925,True
1757,1,15.792099290468006,False
1881,1,15.120330684214549,False
1970,1,15.903084606452927,False
2089,0,24.614631827431424,False
2091,1,6.2547981582142205,False
2169,0,24.294906873663873,False
2221,1,7.505757789857065,False
2295,0,28.86721496784891,False
2397,1,18.70089837414235,False
2607,0,23.057111701165002,True
2641,1,11.825548613066541,False
2702,0,35.40110732731393,False
2736,1,18.288367887813283,False
2807,1,15.01151557971413,False
2953,1,11.496438578968707,True
3181,1,18.061231962410538,False
3226,0,24.30269326638511,False
3283,0,26.938270174604757,False
3302,1,12.891873409245067,False
3304,1,16.453574079816214,False
3325,1,12.696078134605191,False
3380,0,27.836731129929753,False
3497,1,9.83366157644242,False
3747,1,19.559181986985042,False
3757,0,23.057111701165002,True
3993,1,7.381388758221586,False
4059,1,10.675322009194852,False
4230,1,7.381388758221586,False
4244,0,27.71610542626796,False
4317,1,15.75,True
4698,0,31.74335993558338,False
4735,1,13.717583606451978,False
4744,1,13.766175939599204,False
4756,0,17.85,False
4802,1,15.451459477991069,True
4809,0,32.98729452380113,False
4905,1,15.792099290468006,False
4990,1,16.262475211356975,False
5074,1,16.060538596199073,False
5090,1,12.61833586492292,False
5115,0,25.645615609690484,False
5206,0,28.49343082185787,False
5219,1,16.648615558057674,False
5233,0,25.780488746336836,False
5457,0,22.292384349817766,False
5516,1,20.392979184023112,False
5606,0,28.015310100014958,False
5658,0,30.639231387226413,False
5687,1,15.61677303414505,False
5712,1,7.381388758221586,True
5715,0,27.435167212903956,False
5769,1,15.40916934815112,True
5808,1,7.837148716210508,False
5848,1,7.494164396382028,False
5884,0,28.642082675671475,False
6048,1,12.696078134605191,False
6111,0,23.189902975217468,True
6201,0,25.645615609690484,False
6219,1,10.29314820645268,False
6291,0,37.0346985946963,False
6367,1,6.300000000000001,False
6370,1,9.547360891890492,False
6374,0,27.116461789842717,False
6466,1,14.694083843506544,False
6686,1,4.634921790062914,True
6740,1,14.959174442461723,False
6797,0,24.017345815056252,False
6813,0,32.55710214377195,False
7037,1,18.288367887813283,False
7066,1,12.249444885381541,False
7271,0,36.72196209354833,False
7287,1,17.892177061498135,False
7583,1,22.49536841218654,False
7665,1,12.696078134605191,True
7726,0,29.93,False
7841,1,12.764074584551754,False
7893,1,11.264830225085507,True
8121,1,16.56087256155303,False
8145,1,10.39299764264382,True
8198,1,9.83366157644242,False
8229,0,18.91222884802318,False
8255,1,16.00715152673954,False
8322,0,28.695567601983413,False
8467,0,21.1183545760554,False
8498,1,6.445122186584209,True
8694,1,14.694083843506544,False
8760,1,16.497639225052776,False
8896,0,18.170924577467158,True
8985,1,5.29385492812185,True
9156,1,7.627850286941925,True
9358,1,18.288367887813283,False
9379,1,18.33412392234764,False
9443,1,11.865955503034723,False
9585,1,22.19621814634196,False
9629,0,29.15411634743883,False
9642,0,21.1183545760554,False
9656,1,12.764074584551754,False
9683,1,9.144183943906642,False
9735,0,25.645615609690484,False
10021,0,32.05501676805052,False
10050,0,26.488216247984692,False
10072,0,22.44064393015495,False
10087,1,5.154502885827109,False
10141,0,30.5114011477677,False
10436,0,29.68175196985515,False
10534,0,25.346368576188585,False
10584,1,8.323677072063765,True
10612,0,18.310349532436568,False
10696,1,11.825548613066541,False
10772,1,18.36629793943243,False
11230,0,25.349794870964935,False
11249,0,25.349794870964935,False
11256,1,15.120330684214549,False
11363,0,32.80470850350602,False
11530,1,16.21110730332756,False
11532,1,6.872670514436146,False
11570,0,32.89620190842706,False
11614,1,17.330000000000002,False
11657,1,19.04411720190779,False
11754,1,12.696302611390452,False
11856,0,24.53201173976566,False
11919,1,9.144183943906642,False
