,box,distance,goal
20,1,13.13,False
22,0,21.873600526662273,False
107,1,13.469135087302378,False
111,1,17.4555693118271,False
228,0,27.116461789842717,False
250,0,26.467648176594764,False
295,0,25.25173261382276,False
356,1,15.40916934815112,False
420,1,12.485515608095646,False
502,1,18.061231962410538,False
520,1,11.496438578968707,False
638,0,25.20917293367635,False
706,1,18.27707854116735,False
710,1,8.902140192111109,False
795,0,25.23667172984584,False
830,0,30.03022477438356,False
901,0,22.07351353998724,False
1061,1,10.807404868885037,False
1128,1,14.652999692895651,False
1273,1,13.413906962551964,False
1299,1,10.675322009194852,False
1577,1,20.809192680159413,False
1681,1,10.521996008362672,False
1746,1,16.56087256155303,False
1838,0,24.534076302155743,False
1890,1,7.992496481075235,True
1904,0,24.10418220973282,False
1919,1,13.213629327327146,False
1961,1,18.79491686600396,False
1987,1,17.43596570310919,False
2019,0,34.30659411833241,True
2214,0,24.38898111852974,False
2216,0,21.554305834333892,False
2235,1,13.717583606451978,False
2262,1,11.471813282999337,False
2349,1,10.846584715937086,False
2355,1,12.940173878275361,True
2373,1,20.015354106285507,False
2511,0,21.1183545760554,False
2574,0,29.882786014694144,False
2578,1,13.213629327327146,False
2603,1,14.317821063276355,False
2647,0,24.656163529632913,False
2694,1,10.846584715937086,False
2735,0,30.51825846931637,False
2818,1,12.509596316428441,True
3169,1,9.654926203757334,False
3313,1,18.38995377916976,False
3381,1,19.559181986985042,False
3420,1,13.766175939599204,False
3437,1,14.007655050007479,False
3454,1,14.173228284339459,False
3483,1,17.040026408430244,False
3503,0,26.27015226449973,False
3622,0,18.170924577467158,False
3868,0,35.31094023103888,False
4052,1,7.837148716210508,False
4056,1,8.098302291221291,False
4137,1,13.07122412018094,False
4183,0,30.57124302346897,False
4213,0,28.05603143710814,False
4279,1,18.27326188724936,False
4466,1,10.043032410581976,False
4520,1,7.381388758221586,False
4586,0,28.553152190257382,False
4601,0,27.698521621198488,False
4682,0,27.489054185257086,False
4737,0,28.262782948605754,False
4809,0,29.15411634743883,False
4979,1,8.406479643703422,True
5001,1,9.654926203757334,True
5159,0,20.58629641290536,False
5496,1,14.067071479167227,False
5524,1,14.762777516443172,False
5819,0,26.25880614194027,False
5918,0,22.47420743875076,False
5927,0,24.280864893985964,True
5933,1,6.8620988043017865,False
5942,0,18.87,False
5995,1,15.120330684214549,False
6012,1,11.264830225085507,True
6072,1,11.642272115012602,False
6095,1,6.622054061996173,False
6133,1,12.673184288094292,False
6135,1,7.837148716210508,False
6287,1,18.124017214734707,False
6466,1,12.940173878275361,False
6498,1,10.807404868885037,False
6580,1,3.9962482405376174,True
6603,1,18.288367887813283,False
6643,0,29.305999385791303,False
6655,1,10.29314820645268,False
6711,1,11.62979363531443,True
6855,0,24.936000080205325,False
7061,1,8.098302291221291,False
7230,0,24.984803381255574,False
7314,0,19.981241202688086,False
7406,1,20.809192680159413,False
7451,0,25.238858928247925,False
7456,1,12.509596316428441,False
7600,1,14.14171488893762,False
7625,1,21.964343832675723,False
7991,1,14.715719486318024,False
8159,1,6.3480390673025955,False
8241,0,28.642082675671475,False
8353,1,12.673184288094292,False
8399,0,39.30801444998208,False
8527,0,38.59562799074527,False
8540,1,14.007655050007479,False
8680,0,33.24488682489384,False
8716,1,9.564355702293804,False
8746,0,29.003049839628936,False
8816,1,7.494164396382028,True
8840,0,38.285083257059796,False
8854,0,29.6466456787273,False
8910,0,28.553152190257382,False
8915,0,27.294924436605427,False
8986,0,21.077060990565073,False
9056,0,18.310349532436568,False
9185,1,16.21110730332756,False
9251,1,12.696078134605191,False
9265,1,16.897245337628263,False
9498,1,11.264830225085507,False
9532,0,20.326347433811126,False
9765,1,14.173228284339459,False
9778,0,22.711144841244796,False
9939,1,16.923403912924847,False
10005,1,12.05209110486641,False
10015,1,14.931044839528143,False
10185,1,9.667683279876313,True
